Datum,Temperatur,Humidity
2021-03-04 10:32:01,26.0,35.8
2021-03-04 10:33:01,26.0,36.8
2021-03-04 10:34:01,26.0,36.1
2021-03-04 10:35:01,25.9,36.1
2021-03-04 10:36:02,25.9,36.2
2021-03-04 10:37:02,25.9,36.4
2021-03-04 10:38:01,25.9,36.3
2021-03-04 10:39:01,25.9,36.3
2021-03-04 10:40:01,25.9,36.4
2021-03-04 10:41:01,25.8,36.3
2021-03-04 10:42:01,25.8,36.2
2021-03-04 10:43:02,25.8,36.2
2021-03-04 10:44:02,25.8,36.2
2021-03-04 10:45:01,25.8,36.3
2021-03-04 10:46:01,25.8,36.3
2021-03-04 10:47:01,25.8,36.3
2021-03-04 10:48:04,25.8,36.3
2021-03-04 10:49:02,25.8,36.3
2021-03-04 10:50:02,25.8,36.2
2021-03-04 10:51:01,25.8,36.3
2021-03-04 10:52:01,25.8,36.3
2021-03-04 10:53:01,25.8,36.3
2021-03-04 10:54:01,25.8,36.3
2021-03-04 10:55:02,25.8,36.3
2021-03-04 10:56:02,25.8,36.5
2021-03-04 10:57:01,25.8,36.3
2021-03-04 10:58:01,25.7,37.1
2021-03-04 10:59:01,25.6,38.1
